gender,ethnicity,parent_education,lunch,test_prep,math_score,reading_score,writing_score
1,3,4,1,1,44,54,53
0,2,1,0,0,47,62,66
0,3,1,1,1,79,89,89
0,2,5,0,1,65,86,80
0,2,2,1,1,76,76,74
1,0,4,1,1,53,43,43
1,1,0,1,1,48,43,45
0,3,5,1,1,48,58,54
0,2,2,1,1,81,84,82
0,3,0,0,1,52,59,56
0,2,2,1,1,60,68,72
1,2,5,0,0,56,61,60
1,2,0,0,1,87,73,72
1,3,5,0,1,56,54,52
0,2,1,1,0,56,79,72
1,2,3,1,1,71,67,67
0,2,0,1,1,85,84,82
0,3,4,1,1,98,100,99
0,2,5,0,1,43,53,53
0,1,5,1,0,60,70,74
1,3,0,1,0,87,84,85
1,3,5,1,1,86,73,70
0,0,5,1,0,59,85,80
1,4,5,1,1,92,87,78
0,2,4,1,1,52,58,58
0,3,0,0,0,75,90,88
1,3,4,1,1,67,64,70
0,3,1,0,1,62,72,74
0,1,5,0,1,72,81,79
1,0,2,1,1,57,51,54
0,2,3,1,1,73,78,74
0,1,5,1,1,57,67,72
1,2,1,1,0,91,81,79
0,4,2,0,1,41,45,40
0,2,1,1,0,92,100,99
1,1,4,1,0,87,84,86
0,2,3,0,1,52,65,61
1,3,2,1,0,68,64,66
1,3,4,0,1,77,62,64
0,1,4,1,0,88,95,92
1,4,2,1,0,87,91,81
1,4,4,1,1,76,71,72
1,1,4,1,0,69,77,77
1,2,2,0,1,54,72,59
1,4,4,1,0,85,75,68
0,1,2,1,1,81,91,89
1,2,4,1,1,59,60,58
0,2,1,0,1,62,78,79
0,3,1,1,1,78,82,79
1,2,5,0,1,79,76,65
1,2,0,1,1,92,79,84
1,1,0,0,1,44,41,38
1,0,4,0,0,81,78,81
1,1,2,1,0,73,71,68
0,3,2,0,1,39,52,46
0,3,1,0,0,93,100,100
0,2,0,0,0,56,68,70
1,2,4,1,0,79,79,78
1,1,1,0,1,48,51,46
1,4,3,1,1,90,85,84
1,4,4,1,1,76,67,67
1,4,1,1,0,70,64,70
1,1,5,1,0,65,66,62
1,1,4,0,1,54,54,45
0,4,5,0,1,74,74,72
1,1,4,0,0,74,77,76
1,2,5,1,1,51,52,44
0,2,2,1,1,63,69,74
1,3,2,1,1,41,52,51
1,3,0,0,1,52,57,50
1,3,1,1,1,69,58,57
0,3,3,1,1,92,100,100
0,2,2,1,1,72,80,83
1,2,4,1,1,84,87,81
0,2,4,1,0,88,93,93
0,3,4,1,0,74,75,79
0,3,2,1,0,88,99,100
0,0,4,1,1,54,63,67
0,1,2,1,1,62,62,63
0,2,1,1,1,83,93,95
0,4,0,0,1,50,56,54
1,2,2,1,0,69,58,53
1,1,1,1,1,63,71,69
0,1,2,1,0,69,76,74
0,1,0,0,1,53,71,67
0,1,0,1,1,73,76,80
1,3,2,1,1,70,70,70
1,4,4,1,1,66,57,52
0,3,1,1,0,71,76,83
0,2,5,1,1,47,54,53
0,2,2,0,1,35,61,54
1,2,2,1,1,50,48,42
1,2,0,1,1,46,43,42
0,1,5,1,1,70,64,72
1,1,5,0,0,49,50,52
1,4,4,1,1,97,87,82
0,3,2,0,1,49,57,52
0,2,0,1,1,59,66,67
1,3,1,0,0,74,79,75
0,3,4,0,1,77,86,86
0,0,0,0,1,65,85,76
0,3,2,1,0,56,68,74
1,2,0,1,1,85,76,71
0,1,5,1,0,60,70,70
0,1,0,1,1,49,52,54
0,3,2,1,1,69,77,73
1,4,0,1,1,89,76,74
1,3,0,1,1,52,55,49
1,3,2,1,1,53,52,42
0,0,3,1,1,50,53,58
0,3,1,1,1,89,100,100
0,2,5,1,0,76,87,85
1,4,4,0,1,93,90,83
1,1,2,1,1,47,46,42
0,3,3,1,1,53,61,68
0,2,4,1,1,82,90,94
1,4,4,1,1,68,60,59
0,1,4,1,1,70,75,78
0,3,5,1,1,81,97,96
0,4,0,0,1,73,76,78
0,2,0,1,1,66,77,73
0,2,2,0,1,41,46,43
0,2,2,1,1,61,72,70
1,2,0,0,1,55,61,54
1,4,1,1,1,82,62,62
0,3,5,1,0,97,100,100
0,2,5,1,1,65,69,76
0,3,4,1,0,68,78,77
1,2,2,1,1,62,67,58
1,3,2,0,1,74,70,69
1,3,0,0,1,75,66,73
0,3,1,1,0,68,75,81
1,3,1,1,1,75,73,74
1,2,2,1,1,62,55,49
0,2,1,1,0,59,64,75
1,3,4,0,1,69,66,60
0,2,4,0,0,67,75,70
1,0,1,1,0,80,78,81
0,1,5,0,1,18,32,28
1,3,0,0,1,90,87,75
0,4,4,1,1,61,64,62
0,4,0,0,1,70,84,81
1,3,1,0,1,50,42,48
0,4,4,0,1,71,76,70
0,0,5,0,1,44,64,58
1,4,0,0,0,46,43,44
1,4,5,0,0,73,67,59
1,3,2,0,0,64,64,67
0,1,1,1,1,75,84,80
1,2,4,1,1,69,64,68
1,2,5,1,1,73,66,63
0,1,2,1,1,58,68,61
1,2,0,1,0,82,75,77
1,3,4,1,1,40,42,38
1,2,4,0,1,80,64,66
1,1,4,1,0,91,96,91
0,2,5,1,0,44,51,55
0,3,5,1,0,61,74,72
0,2,5,1,1,74,75,82
1,2,0,1,1,62,65,58
0,1,0,1,1,57,69,68
0,2,4,1,0,69,90,88
0,3,0,0,1,55,76,76
0,3,5,1,1,73,84,85
0,0,5,0,1,38,43,43
1,3,0,1,1,40,52,43
1,0,2,1,1,63,63,62
0,2,4,1,0,63,78,80
0,3,3,0,0,47,58,67
0,4,2,0,0,66,74,78
0,3,5,1,1,59,72,80
0,2,1,0,1,50,60,59
1,3,5,1,1,86,80,75
0,3,4,0,0,52,59,65
0,2,5,0,1,48,56,51
1,4,5,1,1,30,26,22
0,2,2,1,0,58,75,77
1,0,0,0,0,79,82,82
0,4,0,1,0,82,85,86
1,4,5,1,0,77,76,77
0,0,0,1,1,82,93,93
0,3,2,1,1,69,72,77
0,2,1,0,1,67,75,72
